pl_hostname,pl_rade,pl_eqt
KOI-94,11.270,806
Kepler-130,2.900,683
Kepler-430,1.750,458
WASP-70 A,13.047,1387
K2-13,1.890,511
GJ 1132,1.430,644
K2-27,4.480,902
K2-24,5.830,709
K2-24,8.100,560
WASP-83,11.657,1120
WASP-89,11.657,1120
Qatar-3,12.285,1681
Qatar-4,12.722,1385
Qatar-5,12.408,1415
KELT-18,17.598,2085
K2-110,2.592,640
KELT-9,21.196,4050
K2-113,10.424,1178
K2-107,16.141,1780
WASP-53,12.038,1053
K2-114,10.559,719
K2-115,12.498,682
CoRoTID 223977153,6.389,938
MASCARA-1,16.814,2570
GJ 9827,1.750,1044
GJ 9827,1.360,722
GJ 9827,2.100,605
Kepler-80,1.130,418
KOI-351,1.320,709
HATS-51,15.805,1553
HATS-52,15.491,1834
HATS-53,15.020,1312
KELT-19 A,21.409,1935
HATS-36,13.843,1356
WASP-81,16.018,1623
K2-108,5.280,1446
KELT-16,15.861,2453
TRAPPIST-1,0.918,251
TRAPPIST-1,1.045,219
TRAPPIST-1,1.127,199
TRAPPIST-1,0.752,173
HATS-22,10.682,858
HATS-23,20.849,1654
HATS-24,16.668,2067
LHS 1140,1.430,230
KELT-12,19.952,1800
K2-232,11.209,1030
HATS-39,17.598,1645
HATS-40,17.710,2101
HATS-41,14.908,1710
HATS-42,15.693,1856
K2-229,1.164,1960
K2-229,2.120,800
WASP-85 A,13.899,1452
WASP-113,15.793,1496
WASP-114,15.009,2043
HAT-P-65,21.185,1930
K2-155,1.800,708
K2-155,2.600,583
K2-155,1.900,381
KELT-21,17.777,2051
K2-136,0.990,553
K2-136,2.910,425
K2-136,1.450,373
KELT-11,15.356,1712
K2-137,0.890,1471
Kepler-1652,1.600,268
HIP 65426,16.814,1500
KELT-20,19.515,2262
NGTS-1,14.908,790
K2-139,9.057,565
K2-140,12.274,1114
Kepler-1654,9.180,206
K2-233,1.335,728
K2-233,2.640,482
KPS-1,11.545,1459
K2-233,1.398,1040
HATS-43,13.227,1003
HATS-44,11.960,1161
HATS-45,14.415,1518
HATS-46,10.122,1054
HATS-7,6.311,1084
HAT-P-66,17.822,1896
HATS-18,14.986,2060
WASP-130,9.976,833
WASP-131,13.675,1460
WASP-132,9.752,763
WASP-139,8.967,910
WASP-140,16.141,1320
WASP-141,13.563,1540
WASP-142,17.150,2000
HATS-31,18.383,1823
WASP-127,15.356,1400
HATS-32,14.000,1437
HATS-33,13.787,1429
HATS-34,16.029,1445
HATS-35,16.410,2037
